Id,Lot Area,Overall Qual,Year Built,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,TotRms AbvGrd,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,SalePrice,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Exter Qual_TA,Kitchen Qual_Gd,Kitchen Qual_TA
1480,9627,7,2007,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,6,610.0,0,50,0,0,0,0,0,193000,0,0,0,0,1,0
324,10114,5,2004,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,7,624.0,0,0,0,0,0,0,0,173500,0,0,0,1,1,0
1311,4571,5,1916,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,7,513.0,0,0,96,0,0,0,0,98000,0,0,0,1,0,1
770,8816,5,1963,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,5,480.0,0,80,0,0,0,0,0,139000,0,0,0,1,0,1
2063,8197,6,1977,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,7,528.0,138,0,0,0,0,0,0,143500,0,0,0,1,0,1
69,8640,7,2009,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,7,614.0,169,45,0,0,0,0,0,215200,0,0,0,1,1,0
2062,8724,5,1968,0.0,492.0,0.0,402.0,894.0,894,0,0,894,5,450.0,0,0,0,0,0,0,0,129000,0,0,0,1,0,1
351,5664,8,2000,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,5,499.0,212,59,0,0,0,0,0,278000,0,0,1,0,0,0
2393,12867,8,2005,0.0,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,8,575.0,243,142,0,0,0,0,0,344133,0,1,0,0,0,0
12,7980,6,1992,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,6,420.0,483,21,0,0,0,0,500,185000,0,0,0,1,0,1
2339,34650,5,1955,0.0,1056.0,0.0,0.0,1056.0,1056,0,0,1056,5,572.0,264,0,0,0,0,0,0,145000,0,0,0,1,0,1
624,10573,6,1961,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,6,530.0,0,49,0,0,288,0,0,187500,0,0,0,1,0,1
86,8450,5,1965,0.0,553.0,117.0,224.0,894.0,894,0,0,894,5,336.0,416,144,0,0,0,0,0,138500,0,0,0,1,0,1
1534,11700,5,1937,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,7,240.0,0,40,0,0,0,0,0,198000,0,0,0,1,1,0
2243,8250,5,1895,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,9,0.0,0,0,133,0,0,0,0,119600,0,0,0,1,0,1
1957,8064,5,1949,0.0,0.0,0.0,672.0,672.0,672,252,0,924,6,576.0,0,0,0,0,0,0,2000,122900,0,0,0,1,0,1
380,9600,8,1981,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,9,542.0,474,120,0,0,0,0,0,278000,0,0,0,0,1,0
2860,11435,8,1929,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,7,400.0,0,0,0,0,0,0,0,230000,0,0,0,1,1,0
2517,9549,8,1995,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,6,481.0,0,30,0,0,216,0,0,270000,0,0,0,0,0,0
1933,10950,6,1952,0.0,441.0,0.0,507.0,948.0,948,0,0,948,5,410.0,0,48,0,0,0,0,0,125000,0,0,0,1,0,1
820,10637,8,2007,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,7,826.0,208,44,0,0,0,0,0,297000,0,0,0,0,1,0
675,9000,6,1958,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,5,384.0,0,28,64,0,0,0,0,113500,0,0,0,1,0,1
2910,2665,5,1977,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,6,336.0,104,26,0,0,0,0,0,127000,0,0,0,1,0,1
21,11751,6,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,7,546.0,0,122,0,0,0,0,0,190000,0,0,0,1,0,1
1873,9600,7,1973,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,6,528.0,0,0,0,0,0,0,0,175500,0,0,0,1,0,1
2125,8428,5,1994,0.0,420.0,0.0,570.0,990.0,990,0,0,990,5,384.0,256,0,0,0,0,0,0,146000,0,0,0,1,0,1
1489,9937,5,1965,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,6,276.0,736,68,0,0,0,0,0,147500,0,0,0,0,0,1
2383,13891,10,2006,0.0,1386.0,0.0,690.0,2076.0,2076,0,0,2076,7,850.0,216,229,0,0,0,0,0,465000,0,1,0,0,0,0
983,9101,5,1978,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,4,602.0,303,30,0,0,0,0,0,165500,0,0,0,1,1,0
1325,12150,5,1954,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,7,352.0,0,0,0,0,0,0,0,131500,0,0,0,1,0,1
1378,11200,5,1965,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,5,384.0,0,0,0,0,0,0,0,129500,0,0,0,1,0,1
1537,9670,8,1935,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,9,786.0,0,0,207,0,0,0,0,257076,0,0,0,1,0,1
905,10998,5,1941,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,6,660.0,0,68,0,0,0,0,0,117000,0,0,0,1,0,1
1532,7200,7,1931,0.0,0.0,0.0,776.0,776.0,851,651,0,1502,6,270.0,0,0,112,0,0,0,0,149000,0,0,0,1,0,1
132,9920,5,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,6,280.0,0,0,164,0,0,0,0,128000,0,0,0,1,0,1
1078,2448,7,2003,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,6,474.0,0,27,0,0,0,0,0,155000,0,1,0,0,1,0
2511,2998,6,2000,513.0,353.0,0.0,403.0,756.0,768,756,0,1524,4,440.0,0,32,0,0,0,0,0,166000,0,0,0,0,1,0
912,7804,4,1928,0.0,622.0,0.0,500.0,1122.0,1328,653,0,1981,7,576.0,431,44,0,0,0,0,0,135000,0,0,0,1,1,0
2351,16692,7,1978,184.0,790.0,469.0,133.0,1392.0,1392,1392,0,2784,12,564.0,0,112,0,0,440,519,2000,250000,0,0,0,1,1,0
330,1476,4,1970,0.0,176.0,0.0,370.0,546.0,546,546,0,1092,5,0.0,200,26,0,0,0,0,0,76000,0,0,0,1,0,1
2586,10170,6,1951,522.0,0.0,0.0,216.0,216.0,1575,0,0,1575,5,400.0,0,0,0,0,0,0,0,155000,0,0,0,1,1,0
224,9364,6,1969,143.0,371.0,0.0,292.0,663.0,663,689,0,1352,7,299.0,379,36,0,0,0,0,0,158000,0,0,0,1,0,1
98,2544,7,2004,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,4,480.0,0,172,0,0,0,0,0,149500,0,0,0,0,1,0
2565,9888,5,1954,0.0,486.0,0.0,450.0,936.0,936,0,0,936,5,240.0,0,0,160,0,0,0,0,121000,0,0,0,1,0,1
1934,7942,6,1953,0.0,85.0,955.0,0.0,1040.0,1040,0,0,1040,6,293.0,0,0,0,0,0,0,0,136000,0,0,0,1,0,1
997,15038,6,1996,0.0,138.0,0.0,778.0,916.0,916,720,0,1636,7,386.0,168,84,0,0,0,0,0,173000,0,0,0,1,0,1
64,11764,8,1999,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,9,671.0,132,57,0,0,0,0,0,290000,1,0,0,0,1,0
1799,9000,8,2007,0.0,64.0,0.0,1120.0,1184.0,1184,1426,0,2610,11,550.0,208,364,0,0,0,0,0,303477,0,0,0,0,0,0
230,20062,7,1977,0.0,1092.0,0.0,328.0,1420.0,1483,0,0,1483,4,690.0,496,0,0,0,0,0,0,270000,0,0,0,0,0,1
1295,7308,5,1920,0.0,360.0,0.0,576.0,936.0,960,780,0,1740,6,225.0,0,0,236,0,0,0,0,122250,0,0,0,0,0,0
638,8750,5,1955,0.0,172.0,483.0,727.0,1382.0,1382,0,0,1382,6,350.0,280,0,0,0,0,0,0,153000,0,0,0,1,1,0
2278,8402,5,2007,0.0,206.0,0.0,914.0,1120.0,1120,0,0,1120,6,0.0,0,30,0,0,0,0,0,147000,0,0,0,1,0,1
2202,4000,7,1930,0.0,246.0,0.0,285.0,531.0,567,531,0,1098,5,216.0,0,0,0,0,0,0,0,148500,0,0,0,1,0,1
2833,3363,7,2004,117.0,0.0,0.0,976.0,976.0,976,732,0,1708,7,380.0,0,40,0,0,0,0,0,130000,0,0,0,0,1,0
1707,13615,9,2006,510.0,0.0,0.0,1802.0,1802.0,1802,0,0,1802,7,843.0,158,105,0,0,0,0,0,372000,0,1,0,0,0,0
2428,3013,7,2005,145.0,16.0,0.0,1346.0,1362.0,1506,0,0,1506,6,440.0,142,20,0,0,0,0,0,213490,0,0,0,0,1,0
242,17485,7,2009,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,5,572.0,0,0,0,0,0,0,0,308030,0,0,0,0,1,0
1564,23730,7,1996,668.0,700.0,0.0,1140.0,1840.0,2032,0,0,2032,7,786.0,0,46,192,0,0,0,0,300000,0,0,0,0,1,0
2613,8910,6,1959,0.0,655.0,0.0,0.0,655.0,1194,0,0,1194,6,539.0,0,0,192,0,0,0,0,159500,0,0,0,1,0,1
2832,2522,7,2004,50.0,0.0,0.0,970.0,970.0,970,739,0,1709,7,380.0,0,40,0,0,0,0,0,137500,0,0,0,0,1,0
2459,8688,7,2005,228.0,0.0,0.0,1616.0,1616.0,1616,0,0,1616,7,834.0,208,59,0,0,0,0,0,232000,0,0,0,0,1,0
1360,6291,6,1930,0.0,0.0,0.0,768.0,768.0,768,0,0,768,4,440.0,0,0,84,0,0,0,0,93850,0,0,0,0,0,1
2723,17529,5,1924,65.0,0.0,0.0,872.0,872.0,872,0,0,872,5,322.0,0,0,116,0,0,0,0,105000,0,0,0,1,0,0
1350,6324,4,1927,0.0,0.0,0.0,520.0,520.0,520,0,0,520,4,240.0,49,0,87,0,0,0,0,68500,0,0,0,1,0,0
136,11600,5,1960,361.0,443.0,0.0,662.0,1105.0,1105,1169,0,2274,12,480.0,0,0,0,0,0,0,0,154300,0,0,0,1,0,1
2235,7288,5,1925,0.0,0.0,0.0,936.0,936.0,936,665,0,1601,6,0.0,0,0,0,176,0,0,0,129850,0,0,0,0,0,1
1993,4571,5,1910,0.0,168.0,0.0,448.0,616.0,616,616,0,1232,6,480.0,280,0,143,0,0,0,0,114000,0,0,0,1,0,1
367,17423,9,2008,748.0,1904.0,0.0,312.0,2216.0,2234,0,0,2234,9,1166.0,0,60,0,0,0,0,0,501837,0,0,1,0,0,0
1309,12665,5,1915,0.0,0.0,0.0,876.0,876.0,876,540,0,1416,7,720.0,418,0,194,0,0,0,0,153900,0,0,0,1,0,1
402,9000,4,1971,0.0,240.0,0.0,624.0,864.0,864,0,0,864,5,576.0,200,0,0,0,0,0,0,130000,0,0,0,1,0,1
1592,4500,6,1997,197.0,864.0,0.0,325.0,1189.0,1189,0,0,1189,4,392.0,0,122,0,0,0,0,0,160500,0,0,0,1,0,1
2409,6373,9,2006,572.0,415.0,0.0,1251.0,1666.0,1666,0,0,1666,6,575.0,228,75,0,0,0,0,0,310090,0,1,0,0,1,0
539,10083,7,2003,0.0,833.0,0.0,343.0,1176.0,1200,0,0,1200,5,555.0,0,41,0,0,0,0,0,184900,0,0,0,0,1,0
1940,13300,5,1956,0.0,377.0,0.0,551.0,928.0,928,0,0,928,4,252.0,261,0,156,0,0,0,0,132000,0,0,0,1,0,1
588,9600,5,1969,128.0,553.0,147.0,588.0,1288.0,1336,0,0,1336,6,502.0,312,11,0,0,0,0,650,163000,0,0,0,1,0,1
96,3215,7,2004,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,4,480.0,0,172,0,0,0,0,0,155000,0,0,0,0,1,0
1187,11104,6,1969,0.0,828.0,0.0,599.0,1427.0,1427,0,0,1427,7,516.0,0,0,0,0,216,0,0,183000,0,0,0,1,0,1
2154,15295,7,1996,254.0,762.0,0.0,98.0,860.0,1212,780,0,1992,7,608.0,225,32,0,0,0,0,0,211000,0,0,0,0,1,0
550,9109,7,1994,0.0,36.0,596.0,122.0,754.0,754,786,0,1540,6,495.0,140,32,0,0,0,0,0,184000,0,0,0,0,1,0
811,7018,5,1979,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,8,400.0,0,0,0,0,0,0,0,118858,0,0,0,1,0,1
124,14112,5,1964,86.0,1014.0,0.0,138.0,1152.0,1152,0,0,1152,6,484.0,227,0,0,0,0,0,0,180500,0,0,0,1,0,1
1836,3523,8,2006,30.0,60.0,0.0,1081.0,1141.0,1151,0,0,1151,5,484.0,0,60,0,0,0,0,0,166000,0,0,0,0,1,0
779,15312,6,1960,54.0,588.0,0.0,550.0,1138.0,1138,0,0,1138,6,480.0,0,0,0,0,140,0,0,148000,0,0,0,1,0,1
1886,7450,5,1956,0.0,438.0,206.0,250.0,894.0,1074,0,0,1074,6,396.0,0,72,0,0,0,0,0,124000,0,0,0,1,1,0
1724,7313,9,2005,246.0,1153.0,0.0,408.0,1561.0,1561,0,0,1561,6,556.0,203,47,0,0,0,0,0,277500,0,1,0,0,0,0
2450,10019,8,1995,397.0,527.0,0.0,815.0,1342.0,1358,1368,0,2726,9,725.0,307,169,168,0,0,0,0,350000,1,0,0,0,1,0
1013,15401,9,2004,296.0,1337.0,0.0,547.0,1884.0,1884,0,0,1884,7,670.0,214,76,0,0,0,0,0,387000,0,0,1,0,0,0
2084,9098,4,1920,0.0,348.0,0.0,180.0,528.0,605,0,0,605,5,0.0,0,0,144,0,0,0,0,86000,0,0,0,1,0,1
1184,16280,8,1976,0.0,1044.0,382.0,0.0,1426.0,1671,0,0,1671,6,550.0,280,90,0,0,0,0,0,290000,0,0,0,0,0,0
728,9392,3,1900,0.0,0.0,0.0,245.0,245.0,797,0,0,797,5,0.0,0,36,94,0,0,0,0,44000,0,0,0,1,0,1
950,12209,6,2001,0.0,690.0,0.0,114.0,804.0,804,1157,0,1961,7,560.0,125,192,0,0,0,0,0,215000,0,0,0,1,1,0
2524,13110,5,1972,144.0,962.0,0.0,191.0,1153.0,1193,0,0,1193,6,501.0,140,153,0,0,0,0,0,146500,0,0,0,1,0,1
2513,2651,7,2000,0.0,641.0,0.0,32.0,673.0,673,709,0,1382,6,490.0,153,50,0,0,0,0,0,165000,0,0,0,0,1,0
2028,8520,6,1916,0.0,168.0,546.0,0.0,714.0,1664,862,0,2526,10,216.0,88,15,0,0,0,0,0,136000,0,0,0,1,1,0
2309,39384,6,1957,902.0,1110.0,0.0,595.0,1705.0,1390,0,0,1390,4,550.0,0,189,0,0,0,0,0,252000,0,0,0,1,0,0
51,2628,7,2003,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,6,474.0,0,27,0,0,0,0,0,175500,0,1,0,0,1,0
699,6406,5,1939,0.0,421.0,0.0,269.0,690.0,868,690,0,1558,7,400.0,0,36,0,0,182,0,0,150000,0,0,0,1,0,1
1881,12342,5,1960,0.0,0.0,0.0,978.0,978.0,1422,0,0,1422,6,286.0,0,0,36,0,0,0,600,139900,0,0,0,1,0,1
1345,6240,5,1930,0.0,0.0,0.0,1078.0,1078.0,1128,445,0,1573,8,360.0,0,0,0,0,0,0,0,162900,0,0,0,1,0,1
166,10000,6,1962,261.0,0.0,0.0,1116.0,1116.0,1116,0,0,1116,5,440.0,0,0,0,0,385,0,0,160000,0,0,0,1,0,1
781,9000,2,1947,0.0,0.0,0.0,0.0,0.0,660,0,0,660,5,0.0,0,0,100,0,0,0,0,63900,0,0,0,1,0,0
379,11088,6,1978,144.0,832.0,0.0,308.0,1140.0,1707,0,0,1707,7,479.0,0,0,0,0,0,0,0,184000,0,0,0,1,0,1
2818,17755,5,1959,132.0,176.0,0.0,1290.0,1466.0,1466,0,0,1466,6,528.0,0,140,0,0,100,0,0,149900,0,0,0,1,0,0
1168,4765,9,2000,260.0,1027.0,0.0,587.0,1614.0,1638,0,0,1638,5,495.0,230,68,0,0,0,0,0,300000,0,0,0,0,0,0
1396,10532,5,1960,275.0,988.0,0.0,0.0,988.0,1721,0,0,1721,7,626.0,50,84,0,0,0,0,0,145000,0,0,0,1,0,1
838,15426,6,1997,0.0,821.0,0.0,107.0,928.0,928,836,0,1764,7,470.0,276,99,0,0,0,0,0,231500,0,0,0,1,1,0
1492,13907,5,1940,0.0,290.0,0.0,706.0,996.0,996,0,0,996,6,0.0,144,0,0,0,0,0,0,108000,0,0,0,1,0,1
637,8750,5,1956,0.0,435.0,202.0,565.0,1202.0,1202,0,0,1202,6,304.0,0,35,120,0,0,0,0,120000,0,0,0,1,0,1
1826,9945,5,1961,57.0,827.0,0.0,161.0,988.0,988,0,0,988,5,572.0,0,0,0,0,0,0,0,128500,0,0,0,1,0,1
173,8960,5,1927,0.0,0.0,0.0,1008.0,1008.0,1028,0,0,1028,5,360.0,0,0,130,0,0,0,0,115000,0,0,0,1,0,1
715,3500,5,1947,0.0,312.0,0.0,408.0,720.0,720,564,0,1284,5,240.0,0,35,0,0,0,0,0,110000,0,0,0,1,0,1
1183,24572,9,1977,1050.0,410.0,0.0,584.0,994.0,1599,1345,0,2944,9,864.0,140,70,16,0,0,0,0,150000,0,0,0,0,1,0
2433,9056,8,2004,0.0,0.0,0.0,707.0,707.0,707,707,0,1414,6,403.0,100,35,0,0,0,0,0,178000,0,0,0,0,1,0
2866,12320,7,1932,0.0,0.0,0.0,637.0,637.0,959,650,0,1609,8,579.0,0,0,0,0,104,0,0,199500,0,0,0,1,1,0
2311,8238,6,1997,0.0,700.0,0.0,113.0,813.0,813,712,0,1525,6,400.0,421,72,0,0,0,0,0,183500,0,0,0,1,0,1
1551,6000,5,1967,0.0,257.0,0.0,367.0,624.0,1092,564,0,1656,7,288.0,0,180,0,0,100,0,0,126000,0,0,0,0,0,1
1049,2529,7,1977,0.0,378.0,0.0,677.0,1055.0,1055,0,0,1055,4,440.0,0,38,0,0,0,0,0,148500,0,0,0,1,0,1
657,10800,5,1939,0.0,0.0,0.0,676.0,676.0,676,676,0,1352,7,720.0,187,0,128,0,0,0,0,149000,0,0,0,1,1,0
414,2349,6,1977,0.0,389.0,0.0,466.0,855.0,855,601,0,1456,6,440.0,0,28,0,0,0,0,0,137900,0,0,0,1,0,1
1181,10846,8,1993,0.0,1619.0,0.0,100.0,1719.0,1719,0,0,1719,6,473.0,122,30,0,0,0,0,0,324000,0,0,0,0,1,0
1514,5604,5,1925,0.0,468.0,0.0,396.0,864.0,864,0,0,864,5,0.0,0,0,96,0,0,0,0,98000,0,0,0,1,0,1
1040,1680,6,1973,359.0,458.0,0.0,25.0,483.0,483,504,0,987,5,264.0,52,0,0,0,0,0,0,103400,0,0,0,1,0,1
216,6342,5,1875,0.0,0.0,0.0,780.0,780.0,780,240,0,1020,6,0.0,0,0,176,0,0,0,0,94000,0,0,0,1,0,1
1720,4590,8,2006,108.0,24.0,0.0,1530.0,1554.0,1554,0,0,1554,6,627.0,156,73,0,0,0,0,0,209500,0,1,0,0,1,0
2331,18062,10,2006,662.0,0.0,0.0,1528.0,1528.0,1528,1862,0,3390,10,758.0,204,34,0,0,0,0,0,545224,0,0,1,0,0,0
204,12900,6,1912,0.0,0.0,0.0,780.0,780.0,780,780,0,1560,7,0.0,344,0,0,0,168,0,0,159900,0,0,0,0,1,0
19,19138,4,1951,0.0,120.0,0.0,744.0,864.0,864,0,0,864,4,400.0,0,0,0,0,0,0,0,141000,0,0,0,1,0,1
2438,8658,6,2000,0.0,732.0,0.0,250.0,982.0,1008,881,0,1889,9,431.0,0,0,0,0,0,0,0,215000,0,0,0,1,0,1
89,6897,5,1962,0.0,659.0,0.0,381.0,1040.0,1040,0,0,1040,6,260.0,0,104,0,0,0,0,0,127000,0,0,0,1,0,1
240,9525,5,1954,0.0,954.0,0.0,218.0,1172.0,1172,0,0,1172,5,366.0,240,0,0,0,0,0,0,128000,0,0,0,1,0,1
105,12853,8,2010,0.0,1032.0,0.0,610.0,1642.0,1418,0,0,1418,6,852.0,160,192,0,224,0,0,0,267916,0,0,0,0,1,0
2020,6240,6,1931,0.0,425.0,0.0,459.0,884.0,959,408,0,1367,6,560.0,0,0,0,0,120,0,0,127500,0,0,0,1,0,1
888,7301,7,2003,500.0,0.0,0.0,0.0,0.0,495,1427,0,1922,7,672.0,0,0,177,0,0,0,0,198500,0,0,0,0,1,0
1019,12090,6,1981,210.0,588.0,228.0,606.0,1422.0,1422,0,0,1422,7,576.0,276,0,0,0,0,0,0,175500,0,0,0,1,1,0
2132,8826,7,2000,144.0,841.0,0.0,144.0,985.0,985,857,0,1842,7,486.0,193,96,0,0,0,0,0,217500,0,0,0,0,1,0
203,8094,4,1915,0.0,0.0,0.0,888.0,888.0,888,1074,0,1962,9,572.0,160,0,364,0,0,0,0,149500,0,0,0,1,0,1
420,10710,5,1966,165.0,644.0,0.0,220.0,864.0,1120,0,0,1120,5,656.0,0,162,0,0,0,0,1200,148800,0,0,0,0,0,1
2333,16056,9,2005,208.0,240.0,0.0,1752.0,1992.0,1992,876,0,2868,11,716.0,214,108,0,0,0,0,0,556581,0,0,1,0,0,0
632,8400,6,1957,0.0,189.0,661.0,628.0,1478.0,1478,0,0,1478,6,442.0,114,0,0,0,216,0,0,156500,0,0,0,1,0,1
2800,11250,7,1995,0.0,685.0,0.0,245.0,930.0,950,1045,0,1995,8,610.0,275,170,0,0,0,0,0,237000,0,0,0,0,1,0
1885,7535,5,1958,0.0,111.0,279.0,522.0,912.0,912,0,0,912,5,297.0,12,285,0,0,0,0,480,120000,0,0,0,1,0,1
1734,12216,6,2005,0.0,918.0,0.0,408.0,1326.0,1326,0,0,1326,6,388.0,120,23,0,0,0,0,2000,203000,0,0,0,1,1,0
2327,3701,8,1987,0.0,0.0,0.0,1191.0,1191.0,1204,0,0,1204,5,461.0,120,70,0,0,0,0,0,130000,0,0,1,1,0,1
1282,9760,6,1964,360.0,674.0,106.0,0.0,780.0,798,813,0,1611,7,442.0,328,128,0,0,189,0,0,167900,0,0,0,1,0,1
2688,9873,4,1970,160.0,789.0,0.0,171.0,960.0,960,0,0,960,6,576.0,0,288,0,0,0,0,0,129000,0,0,0,1,0,1
2581,10011,5,1957,64.0,360.0,0.0,710.0,1070.0,1236,0,0,1236,6,447.0,0,0,0,0,0,0,0,134450,0,0,0,1,1,0
2067,25339,5,1918,0.0,0.0,0.0,816.0,816.0,1416,0,0,1416,7,576.0,0,0,112,0,0,0,0,112000,0,0,0,1,1,0
2115,8883,7,1988,360.0,608.0,321.0,0.0,929.0,946,927,0,1873,7,619.0,108,48,0,0,144,0,0,207000,0,0,0,0,1,0
754,3000,5,1922,0.0,0.0,0.0,1040.0,1040.0,1088,1040,0,2128,11,0.0,0,56,0,0,0,0,0,62500,0,0,0,1,0,1
1079,2448,7,2003,106.0,573.0,0.0,191.0,764.0,764,862,0,1626,6,474.0,0,27,0,0,0,0,0,154000,0,1,0,0,1,0
2615,7100,5,1957,0.0,708.0,0.0,108.0,816.0,816,0,0,816,5,308.0,0,0,0,0,0,0,0,129900,0,0,0,1,0,1
329,2592,5,1976,0.0,129.0,232.0,175.0,536.0,536,576,0,1112,4,336.0,182,0,0,0,0,0,0,85000,0,0,0,1,0,1
1320,5700,7,1926,0.0,0.0,0.0,572.0,572.0,572,539,0,1111,5,288.0,0,0,176,0,0,0,0,116900,0,0,0,1,0,1
416,2289,6,1978,0.0,311.0,0.0,544.0,855.0,855,586,0,1441,7,440.0,28,0,0,0,0,0,0,148500,0,0,0,1,0,1
284,12180,4,1941,0.0,348.0,0.0,324.0,672.0,672,252,0,924,5,280.0,0,0,0,0,0,0,0,80000,0,0,0,1,0,0
1385,7400,5,1984,0.0,104.0,956.0,0.0,1060.0,1126,0,0,1126,5,506.0,178,0,0,0,0,0,0,152000,0,0,0,1,0,1
275,8842,5,1954,0.0,0.0,0.0,381.0,381.0,992,0,0,992,6,319.0,60,0,56,0,0,0,0,155891,0,0,0,1,0,1
2024,8850,6,1920,0.0,0.0,0.0,768.0,768.0,752,624,0,1376,7,576.0,0,54,144,0,0,0,0,165000,0,0,0,1,1,0
68,9215,7,2009,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,4,676.0,0,136,0,0,0,0,0,204500,0,0,0,0,1,0
1910,9480,5,1942,224.0,386.0,0.0,342.0,728.0,888,756,0,1644,7,312.0,168,0,0,0,0,0,0,146500,0,0,0,1,1,0
381,11880,7,1978,206.0,704.0,0.0,567.0,1271.0,1601,0,0,1601,7,478.0,0,0,0,0,0,0,0,157000,0,0,0,1,0,1
1323,10800,7,1890,0.0,0.0,0.0,1313.0,1313.0,1313,1182,0,2495,10,342.0,0,299,0,0,0,0,0,184000,0,0,0,1,0,1
2432,7861,6,2002,0.0,457.0,0.0,326.0,783.0,807,702,0,1509,7,393.0,100,75,0,0,0,0,0,183200,0,0,0,0,1,0
